Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
175,Random,42.3%,ml_dynamic,0.20,48,0,No
176,Random,42.5%,ml,0.20,96,0,No
176,Random,42.5%,ml_dynamic,0.10,19,0,No
177,Random,39.3%,ml,0.20,99,0,No
177,Random,39.3%,ml_dynamic,0.10,31,0,No
178,Random,41.8%,ml,0.10,12,0,No
178,Random,41.8%,ml_dynamic,0.10,25,14.83,Yes
179,Random,41.3%,ml,0.20,79,0,No
179,Random,41.3%,ml_dynamic,0.20,79,0,No
180,Random,40.0%,ml,0.20,26,0,No
180,Random,40.0%,ml_dynamic,0.30,168,0,No
181,Maze,43.0%,ml,0.50,63,30.00,Yes
181,Maze,43.0%,ml_dynamic,0.30,168,45.41,Yes
182,Maze,42.8%,ml,0.10,28,19.00,Yes
182,Maze,42.8%,ml_dynamic,0.10,109,59.00,Yes
183,Maze,43.8%,ml,0.40,209,93.41,Yes
183,Maze,43.8%,ml_dynamic,0.20,82,23.00,Yes
184,Maze,43.3%,ml,0.20,37,14.00,Yes
184,Maze,43.3%,ml_dynamic,0.10,17,10.41,Yes
185,Maze,43.0%,ml,0.50,76,27.00,Yes
185,Maze,43.0%,ml_dynamic,0.10,12,9.41,Yes
186,Maze,42.3%,ml,0.20,25,13.00,Yes
186,Maze,42.3%,ml_dynamic,0.10,58,29.00,Yes
187,Maze,42.3%,ml,0.10,50,29.00,Yes
187,Maze,42.3%,ml_dynamic,0.10,108,28.83,Yes
188,Maze,43.8%,ml,0.10,119,32.83,Yes
188,Maze,43.8%,ml_dynamic,0.20,69,31.41,Yes
189,Maze,43.0%,ml,0.10,17,14.41,Yes
189,Maze,43.0%,ml_dynamic,0.20,189,45.00,Yes
190,Maze,42.0%,ml,0.10,54,17.41,Yes
190,Maze,42.0%,ml_dynamic,0.10,97,33.00,Yes
191,Maze,42.5%,ml,0.10,32,17.00,Yes
191,Maze,42.5%,ml_dynamic,0.10,21,14.00,Yes
192,Maze,44.5%,ml,0.20,27,13.00,Yes
192,Maze,44.5%,ml_dynamic,0.70,190,55.41,Yes
193,Maze,42.0%,ml,0.20,17,12.00,Yes
193,Maze,42.0%,ml_dynamic,0.10,34,15.83,Yes
194,Maze,44.3%,ml,0.10,129,36.00,Yes
194,Maze,44.3%,ml_dynamic,0.00,59,22.00,Yes
195,Maze,43.8%,ml,0.10,17,13.00,Yes
195,Maze,43.8%,ml_dynamic,0.10,42,25.00,Yes
196,Maze,41.8%,ml,0.10,33,16.41,Yes
196,Maze,41.8%,ml_dynamic,0.30,164,40.00,Yes
197,Maze,42.5%,ml,0.20,66,34.41,Yes
197,Maze,42.5%,ml_dynamic,0.00,47,24.00,Yes
198,Maze,44.8%,ml,0.10,33,17.00,Yes
198,Maze,44.8%,ml_dynamic,0.20,96,29.41,Yes
199,Maze,44.5%,ml,0.30,100,35.41,Yes
199,Maze,44.5%,ml_dynamic,0.10,92,40.41,Yes
200,Maze,42.8%,ml,0.30,89,40.00,Yes
200,Maze,42.8%,ml_dynamic,0.20,101,37.00,Yes
201,Maze,43.8%,ml,0.30,34,20.41,Yes
201,Maze,43.8%,ml_dynamic,0.10,45,25.41,Yes
202,Maze,42.8%,ml,0.10,159,36.83,Yes
202,Maze,42.8%,ml_dynamic,0.10,151,37.00,Yes
203,Maze,44.3%,ml,0.20,83,27.41,Yes
203,Maze,44.3%,ml_dynamic,0.10,218,55.83,Yes
204,Maze,44.0%,ml,0.20,97,27.00,Yes
204,Maze,44.0%,ml_dynamic,0.20,23,21.00,Yes
205,Maze,42.8%,ml,0.20,99,26.83,Yes
205,Maze,42.8%,ml_dynamic,0.10,82,34.41,Yes
206,Maze,42.5%,ml,0.10,87,23.41,Yes
206,Maze,42.5%,ml_dynamic,0.00,42,23.00,Yes
207,Maze,44.3%,ml,0.20,10,9.41,Yes
207,Maze,44.3%,ml_dynamic,0.40,118,45.41,Yes
208,Maze,43.3%,ml,0.30,107,35.66,Yes
208,Maze,43.3%,ml_dynamic,0.10,38,24.41,Yes
209,Maze,43.5%,ml,0.20,13,10.41,Yes
209,Maze,43.5%,ml_dynamic,0.30,188,55.41,Yes
210,Maze,43.8%,ml,0.40,191,71.07,Yes
210,Maze,43.8%,ml_dynamic,0.10,144,58.24,Yes
211,Maze,41.8%,ml,0.20,35,17.00,Yes
211,Maze,41.8%,ml_dynamic,0.20,117,38.83,Yes
212,Maze,42.3%,ml,0.20,26,17.41,Yes
212,Maze,42.3%,ml_dynamic,0.80,79,29.41,Yes
213,Maze,43.3%,ml,0.20,23,11.00,Yes
213,Maze,43.3%,ml_dynamic,0.30,181,65.41,Yes
214,Maze,44.0%,ml,0.20,48,21.00,Yes
214,Maze,44.0%,ml_dynamic,0.20,45,25.00,Yes
215,Maze,43.3%,ml,0.30,129,38.83,Yes
215,Maze,43.3%,ml_dynamic,0.20,61,26.00,Yes
216,Maze,42.0%,ml,0.20,41,21.41,Yes
216,Maze,42.0%,ml_dynamic,0.30,82,41.00,Yes
217,Maze,45.3%,ml,0.30,185,59.41,Yes
217,Maze,45.3%,ml_dynamic,0.20,12,9.00,Yes
218,Maze,44.5%,ml,0.30,71,24.00,Yes
218,Maze,44.5%,ml_dynamic,0.10,27,12.00,Yes
219,Maze,44.5%,ml,0.70,206,59.00,Yes
219,Maze,44.5%,ml_dynamic,0.30,115,37.41,Yes
220,Maze,44.5%,ml,0.30,69,26.00,Yes
220,Maze,44.5%,ml_dynamic,0.10,51,18.00,Yes
221,Maze,43.0%,ml,0.10,42,22.00,Yes
221,Maze,43.0%,ml_dynamic,0.00,12,10.00,Yes
222,Maze,43.0%,ml,0.30,166,50.83,Yes
222,Maze,43.0%,ml_dynamic,0.20,178,47.41,Yes
223,Maze,41.3%,ml,0.20,105,31.41,Yes
223,Maze,41.3%,ml_dynamic,0.10,24,16.00,Yes
224,Maze,42.5%,ml,0.30,202,75.83,Yes
224,Maze,42.5%,ml_dynamic,0.60,226,62.00,Yes
225,Maze,45.3%,ml,0.20,146,42.00,Yes
225,Maze,45.3%,ml_dynamic,0.20,38,24.00,Yes
226,Maze,43.8%,ml,0.20,119,51.83,Yes
226,Maze,43.8%,ml_dynamic,0.20,99,55.00,Yes
227,Maze,43.8%,ml,0.10,58,29.41,Yes
227,Maze,43.8%,ml_dynamic,0.20,21,13.41,Yes
228,Maze,41.8%,ml,0.20,53,28.41,Yes
228,Maze,41.8%,ml_dynamic,0.30,31,18.00,Yes
229,Maze,42.8%,ml,0.30,157,34.41,Yes
229,Maze,42.8%,ml_dynamic,0.10,43,21.00,Yes
230,Maze,43.3%,ml,0.20,33,15.41,Yes
230,Maze,43.3%,ml_dynamic,0.10,23,14.00,Yes
231,Maze,42.8%,ml,0.30,94,29.00,Yes
231,Maze,42.8%,ml_dynamic,0.20,11,10.00,Yes
232,Maze,44.8%,ml,0.30,96,49.83,Yes
232,Maze,44.8%,ml_dynamic,0.10,73,26.41,Yes
233,Maze,43.5%,ml,0.50,32,20.41,Yes
233,Maze,43.5%,ml_dynamic,0.20,138,42.24,Yes
234,Maze,43.5%,ml,0.30,126,41.83,Yes
234,Maze,43.5%,ml_dynamic,0.10,116,36.00,Yes
235,Maze,44.8%,ml,0.70,145,59.00,Yes
235,Maze,44.8%,ml_dynamic,0.10,166,68.00,Yes
236,Maze,41.3%,ml,0.20,90,26.83,Yes
236,Maze,41.3%,ml_dynamic,0.10,38,18.41,Yes
237,Maze,43.0%,ml,0.10,40,17.00,Yes
237,Maze,43.0%,ml_dynamic,0.10,78,27.00,Yes
238,Maze,44.0%,ml,0.20,187,51.66,Yes
238,Maze,44.0%,ml_dynamic,0.10,13,9.41,Yes
239,Maze,45.3%,ml,0.10,46,29.00,Yes
239,Maze,45.3%,ml_dynamic,0.20,120,39.00,Yes
